Instance	Externe IP	Ergebnis
berkshire-s408-i01	138.199.63.60	Blocked
berkshire-s408-i02	138.199.63.61	Blocked
berkshire-s408-i03	138.199.63.62	Blocked
berkshire-s408-i04	138.199.63.63	Blocked
berkshire-s408-i05	138.199.63.64	Blocked
berkshire-s408-i06	138.199.63.65	Blocked
berkshire-s408-i07	138.199.63.66	Blocked
berkshire-s408-i08	138.199.63.67	Blocked
berkshire-s408-i09	138.199.63.68	Blocked
berkshire-s408-i10	138.199.63.69	Blocked
berkshire-s408-i11	138.199.63.70	Blocked
berkshire-s408-i12	138.199.63.71	Blocked
berkshire-s408-i13	138.199.63.72	Blocked
berkshire-s408-i14	138.199.63.73	Blocked
berkshire-s408-i15	138.199.63.74	Blocked
berkshire-s408-i16	138.199.63.75	Blocked
berkshire-s408-i17	138.199.63.76	Blocked
berkshire-s408-i18	138.199.63.77	Blocked
berkshire-s408-i19	138.199.63.78	Blocked
berkshire-s408-i20	138.199.63.79	Blocked
berkshire-s408-i21	138.199.63.80	Blocked
berkshire-s408-i22	138.199.63.81	Blocked
berkshire-s408-i23	138.199.63.82	Blocked
berkshire-s408-i24	138.199.63.83	Blocked
berkshire-s408-i25	138.199.63.84	Blocked
berkshire-s408-i26	138.199.63.85	Blocked
berkshire-s408-i27	138.199.63.86	Blocked
berkshire-s408-i28	138.199.63.87	Blocked
berkshire-s408-i29	138.199.63.88	Blocked
berkshire-s409-i01	138.199.63.90	Blocked
